Tag Key,Status,Type,Generated by,Last updated date,Last used month
app,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
app.kubernetes.io/instance,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
app.kubernetes.io/name,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
aws:autoscaling:groupName,Inactive,Resource,AWSGenerated,,2026-04-01T00:00:00Z
aws:createdBy,Inactive,Resource,AWSGenerated,,2026-08-01T00:00:00Z
aws:ec2:fleet-id,Inactive,Resource,AWSGenerated,,2026-04-01T00:00:00Z
aws:ec2launchtemplate:id,Inactive,Resource,AWSGenerated,,2026-04-01T00:00:00Z
aws:ec2launchtemplate:version,Inactive,Resource,AWSGenerated,,2026-04-01T00:00:00Z
aws:eks:cluster-name,Inactive,Resource,AWSGenerated,,2026-04-01T00:00:00Z
aws:elasticfilesystem:default-backup,Inactive,Resource,AWSGenerated,,2026-04-01T00:00:00Z
cluster.k8s.amazonaws.com/name,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
controller-revision-hash,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
CostCenter,Inactive,Resource,UserDefined,,2026-08-01T00:00:00Z
eks:cluster-name,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
eks:eni:owner,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
eks:nodegroup-name,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
eks.amazonaws.com/component,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
elbv2.k8s.aws/cluster,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
elbv2.k8s.aws/resource,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
environment,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
Environment,Inactive,Resource,UserDefined,,2026-08-01T00:00:00Z
ingress.k8s.aws/resource,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
ingress.k8s.aws/stack,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
k8s-app,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
k8s.io/cluster-autoscaler/aws-platform-dev-main,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
k8s.io/cluster-autoscaler/enabled,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
kubernetes.io/cluster/aws-platform-dev-main,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
kubernetes.io/role/elb,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
kubernetes.io/role/internal-elb,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
ManagedBy,Inactive,Resource,UserDefined,,2026-08-01T00:00:00Z
Name,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
node.k8s.amazonaws.com/createdAt,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
node.k8s.amazonaws.com/instance_id,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
Owner,Inactive,Resource,UserDefined,,2026-08-01T00:00:00Z
pod-template-generation,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
pod-template-hash,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
Project,Inactive,Resource,UserDefined,,2026-08-01T00:00:00Z
Tier,Inactive,Resource,UserDefined,,2026-04-01T00:00:00Z
