"Usage type","EUW2-BoxUsage:t3.small($)","EUW2-BoxUsage:t3.micro($)","EUW2-USE1-AWS-Out-Bytes($)","EUW2-DataTransfer-In-Bytes($)","EUW2-DataTransfer-Out-Bytes($)","EUW2-CloudFront-In-Bytes($)","EUW2-CloudFront-Out-Bytes($)","EUW2-USE1-AWS-In-Bytes($)","Total costs($)"
"Usage type total","0.030870098","0.0137896098","7.454e-7","0","0","0","0","0","0.0446604532"
"2026-04-20","","","","","","","","","0"
"2026-04-21","","","","0","0","","","","0"
"2026-04-22","","","","","","","","","0"
"2026-04-23","","0.0057262804","","0","0","","","","0.0057262804"
"2026-04-24","0.030870098","0.0080633294","0.0000007454","0","0","0","0","0","0.0389341728"
"2026-04-25","","","","","","","","","0"
"2026-04-26","","","","","","","","","0"
"2026-04-27","","","","","","","","","0"
"2026-04-28","","","","","","","","","0"
"2026-04-29","","","","","","","","","0"
"2026-04-30","","","","","","","","","0"
