"Usage type","EUW2-NatGateway-Hours($)","EUW2-NatGateway-Bytes($)","EUW2-EBS:VolumeUsage.gp3($)","EUW2-USE1-AWS-In-Bytes($)","EUW2-APS1-AWS-In-Bytes($)","EUW2-CAN1-AWS-In-Bytes($)","EUW2-DataTransfer-Regional-Bytes($)","EUW2-EUW3-AWS-In-Bytes($)","EUW2-USE2-AWS-In-Bytes($)","EUW2-EU-AWS-In-Bytes($)","EUW2-USW2-AWS-In-Bytes($)","Total costs($)"
"Usage type total","0.7","0.0868704034","0.0064938519","0","0","0","0","0","0","0","0","0.7933642553"
"2026-04-20","","","","","","","","","","","","0"
"2026-04-21","0.2","0.0000000037","","0","","","","","","","","0.2000000037"
"2026-04-22","","","","","","","","","","","","0"
"2026-04-23","0.3","0.0278519678","0.0012960494","0","0","0","0","0","0","","","0.3291480172"
"2026-04-24","0.2","0.0590184319","0.0051978025","0","0","","0","","0","0","0","0.2642162344"
"2026-04-25","","","","","","","","","","","","0"
"2026-04-26","","","","","","","","","","","","0"
"2026-04-27","","","","","","","","","","","","0"
"2026-04-28","","","","","","","","","","","","0"
"2026-04-29","","","","","","","","","","","","0"
"2026-04-30","","","","","","","","","","","","0"
