"Service","Elastic Container Service for Kubernetes($)","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Load Balancing($)","S3($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Secrets Manager($)","Glue($)","Key Management Service($)","SNS($)","Total costs($)"
"Service total","1.030177614","0.7933642553","0.0446604532","0.034727785","0.0264615111","0.0005691823","0.0003863993","0.0000824121","0.000005","0","0","0","1.9304346123"
"2026-04-20","","","","","","","","","","0","","","0"
"2026-04-21","","0.2000000037","0","0.001919445","","0.00013952","","0.0000145522","","0","","","0.2020735209"
"2026-04-22","","","","","","0.0000165377","0.0001462517","0.0000001487","","0","","","0.0001629381"
"2026-04-23","0.91720017","0.3291480172","0.0057262804","0.01477361","","0.0001772561","0.0001493952","0.0000325173","0.000005","0","0","","1.2672122462"
"2026-04-24","0.112977444","0.2642162344","0.0389341728","0.01803473","0.0264615111","0.0002203314","0.0000907524","0.0000351939","","0","","","0.46097037"
"2026-04-25","","","","","","0.0000007812","","","","0","","","7.812e-7"
"2026-04-26","","","","","","0.0000007812","","","","0","","0","7.812e-7"
"2026-04-27","","","","","","0.0000007812","","","","0","","","7.812e-7"
"2026-04-28","","","","","","0.0000057812","","","","0","0","","0.0000057812"
"2026-04-29","","","","","","0.0000066311","","","","0","","","0.0000066311"
"2026-04-30","","","","","","0.0000007812","","","","0","","","7.812e-7"
