"Usage type","EUW2-PublicIPv4:InUseAddress($)","EUW2-PublicIPv4:IdleAddress($)","Total costs($)"
"Usage type total","0.032291665","0.00243612","0.034727785"
"2026-04-20","","","0"
"2026-04-21","0.001404165","0.00051528","0.001919445"
"2026-04-22","","","0"
"2026-04-23","0.013712495","0.001061115","0.01477361"
"2026-04-24","0.017175005","0.000859725","0.01803473"
"2026-04-25","","","0"
"2026-04-26","","","0"
"2026-04-27","","","0"
"2026-04-28","","","0"
"2026-04-29","","","0"
"2026-04-30","","","0"
